chapter,slug,content_status,evidence_level,verified_scope,pending,release_status,release_blocker
"01","01-thread-pool-async-notification","完整初稿","L5","JDK 21 线程池接收、拒绝、CallerRuns 与关闭实验已有运行记录","独立原始证据归档、NotifyFlow 过载集成、学习者作业与 Teach-back","Teach Pending","缺可复核原始证据包、项目故障验证与独立教学验证"
"02","02-hashmap-collection-selection","完整初稿","L5","JDK 21 key 契约、可变 key、树化、容量与 fail-fast 实验已有运行记录","独立原始证据归档、JDK 21 源码边界核验、学习者复现","Teach Pending","缺原始输出、源码核验记录与陌生学习者复现"
"03","03-jmm-volatile-synchronized","完整初稿","L5","JDK 21 可见性、volatile 复合操作、monitor happens-before、可重入与异常解锁实验已有运行记录","独立原始证据归档、NotifyFlow 状态集成、闭卷推理与 Teach-back","Teach Pending","缺原始证据包、项目集成证据与独立口述验证"
"04","04-mysql-index-transaction-task-table","完整初稿","L5","MySQL 8.0.40 索引、SKIP LOCKED、隔离级别与死锁实验已有运行记录","EXPLAIN ANALYZE、双会话时间线、死锁原始输出、干净环境与学习者复现","Teach Pending","缺可复算 SQL 原始证据、干净环境复现与学习者独立完成"
"05","05-spring-transaction-proxy","完整初稿","L3","pom.xml 与事务测试骨架存在","Spring 代理、自调用、异常回滚、传播、rollback-only 与新线程实验真实运行","Draft","尚无成功 Maven 测试与数据库前后状态证据"
"06","06-redis-cache-rate-limit-idempotency","完整初稿","L2","讲义、实验合同与官方来源存在","Redis 限流、击穿、eviction 幂等、fencing、Sentinel 与 Java 集成运行","Draft","无 Redis runtime、故障恢复和数据正确性证据"
"07","07-kafka-reliable-messaging-outbox","完整初稿","L3","Compose 解析及 PowerShell 静态 RED/GREEN 检查已有记录","broker、partition/offset/lag、rebalance、DLT、Outbox 与业务幂等运行","Draft","静态检查不能替代 Kafka；无 broker 和消息时间线证据"
"08","08-retry-dlt-reconciliation-recovery","完整初稿","L4","重试放大与 Full Jitter 两组 Java 21 确定性模型已有运行记录","错误分类、真实 DLT、UNKNOWN、乱序回调、安全重放与分阶段恢复","Draft","只有 2/8 模型证据，无真实副作用与恢复闭环"
"09","09-observability-load-test-fault-injection","完整初稿","L5 受限","L4 模型；真实有界 ThreadPoolExecutor 拒绝路径与单 JVM 自定义 JFR 事件链路已有记录；k6 仅静态检查","Micrometer、k6 threshold、GC/锁 JFR、Dashboard、故障注入、UNKNOWN 与 soak","Draft","无真实服务压测、完整 telemetry、恢复正确性与持续运行证据"
"10","10-jvm-memory-gc-production-troubleshooting","八件套初稿","L2","官方资料和实验设计","GC 日志、OOM、NMT、heap dump、锁、虚拟线程 pinning、容器预算与 Runbook","Draft","无 JVM 诊断实验运行和恢复闭环"
